identificador	nome	miniatura	tiporecurso	resumo	disciplina	ano	descritores	OS	navegadores	programas	linkdown	visualizar	tema	origem	autores	idioma	data
11	Histórias Fantásticas	recursos/img/Desktop/Portugues/2/historiasfantasticas.png	Ferramenta.	O recurso "Histórias Fantásticas" trabalha com a produção escrita, por meio da relação entre imagem e texto. Desse modo, o recurso busca proporcionar a construção de histórias, de maneira autoral e criativa.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	2	DPI5; DPI7; DPI14; DPII18; DPII19	windows; linux	chrome; firefox; edge	flash	recursos/recurso/Portugues/2/historiasfantasticas.zip	recursos/recurso/Portugues/2/historiasfantasticas.swf	Produção textual. Leitura. Autoria.	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Português.	2009.
12	Viagem Espacial	recursos/img/Desktop/Portugues/2/viagemespacial.png	Simulação.	O recurso "Viagem espacial" trabalha com a codificação e a decodificação do código escrito, de nível pré-silábico, silábico e alfabético. As personagens propõem a realização de atividades/desafios, inicialmente, em um período pré-viagem e, posteriormente, em três “planetas”.	Portugues	2	DPI3; DPI4; DPI5; DPII19	windows; linux		flash	recursos/recurso/Portugues/2/viagemespacial.zip	recursos/recurso/Portugues/2/viagemespacial.swf	Leitura. Linguagem escrita. Alfabeto.	Portal do Professor.	Ivan Shirahama Loureiro de Lima, Tereza Higashe, Daniela Cristina Barros de Souza, Marcelo Hama.	Português.	2009.
13	Famosa a qualquer preço	recursos/img/Desktop/Portugues/2/famosaaqualquerpreco.png	Animação.	O recurso "Famosa a qualquer preço" é um conto infantil da série "Livros Animados Zuzubalândia" e tem como personagem principal Zuzu, que tem o desejo de se tornar uma cantora famosa. O seu sonho a fez viver grandes aventuras, ao conhecer a bruxa Anoréxica, e também a fez aprender valiosas lições.	Portugues	2	DPI1; DPI3; DPI5; DPI6; DPI7; DPI8; DPI10; DPI13; DPI14; DPII18; DPII19	windows; linux		flash	recursos/recurso/Portugues/2/famosaaqualquerpreco.zip	recursos/recurso/Portugues/2/famosaaqualquerpreco.swf	Linguagem. Leitura. História infantil.	Portal do Professor.	Mariana Caltabiano.	Português.	2009.
14	Livro animado de Zuzubalândia	recursos/img/Desktop/Portugues/2/livroanimadodazuzubalandia.png	Animação.	O recurso "Livro animado de Zuzubalândia" busca estimular o interesse do público infantil pela leitura, enriquecendo o vocabulário e estimulando o imaginário, o raciocínio e a percepção individual. Assim, o recurso procura contribuir com o processo de crescimento cultural dos alunos.	Portugues	2	DPI1; DPI3; DPI5; DPI6; DPI7; DPI8; DPI10; DPI13; DPI14; DPII18; DPII19	windows; linux		flash	recursos/recurso/Portugues/2/livroanimadodazuzubalandia.zip		Linguagem. Leitura. História infantil.	Portal do Professor.	Mariana Caltabiano.	Português.	2009.
15	Chico na Ilha dos Jurubebas - O que é, o que é?	recursos/img/Desktop/Portugues/2/chiconailhadosjurubebasoqueeoquee.png	Vídeo.	O recurso "Chico na Ilha dos Jurubebas - O que é, o que é?" é um vídeo interativo, ambientado em uma ilha e em várias personagens. Durante o vídeo, trabalha-se com a leitura e a escrita, por meio do gênero textual adivinha.	Portugues	2	DPI1; DPI4; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/2/chiconailhadosjurubebasoqueeoquee.zip	recursos/recurso/Portugues/2/chiconailhadosjurubebasoqueeoquee.mp4	Linguagem. Leitura. Adivinha.	TV Escola /  Ministério da Educação (MEC).	TV Escola, Cara de Cão Filmes.	Português.	2014.
16	Zuzu em São Paulo	recursos/img/Desktop/Portugues/2/zuzuemsaopaulo.png	Animação.	O recurso “Zuzu em São Paulo” é um conto infantil da série "Livros Animados Zuzubalândia" e tem como enredo o período que Zuzu passa na cidade de São Paulo, buscando fama como cantora. Com a ajuda de amigos, ela consegue seu sucesso tão desejado.<br><br><b>OBSERVAÇÃO:</b> Recurso requer habilitação do Flash no navegador.	Portugues	2	DPI1; DPI3; DPI5; DPI6; DPI7; DPI8; DPI10; DPI13; DPI14; DPII18; DPII19	windows; linux	chrome; edge		recursos/recurso/Portugues/2/zuzuemsaopaulo.zip	recursos/recurso/Portugues/2/zuzuemsaopaulo.swf	Linguagem. Leitura. História infantil.	Portal do Professor.	Mariana Caltabiano.	Português.	2009.
17	Pra onde foi o pensamento?	recursos/img/Desktop/Portugues/2/praondefoiopensamento.png	Animação.	O recurso "Pra onde foi o pensamento?" apresenta um conto ilustrado que narra o sucinto percurso de um homem durante o seu dia. Durante esse tempo, ele passa por vários lugares e consegue lembrar-se de sua infância, deixando-o feliz e renovado. O conto busca despertar o interesse pela construção de histórias, de forma criativa.	Portugues	2	DPI4; DPI5; DPI6; DPI7; DPI14; DPII19	windows; linux		flash	recursos/recurso/Portugues/2/praondefoiopensamento.zip	recursos/recurso/Portugues/2/praondefoiopensamento.swf	Conto infantil. Conto ilustrado. Gênero textual.	Portal do Professor.	Contos Interativos, Oficinas Culturais.	Português.	2009.
18	Descobrindo as palavras	recursos/img/Desktop/Portugues/2/descobrindoaspalavras.png	Exercício e prática.	O recurso “Descobrindo as palavras” tem como objetivo desenvolver a habilidade de escrita de palavras, a partir das imagens apresentadas.	Portugues	2	DPI3; DPI4; DPI5; DPII19	windows; linux		flash	recursos/recurso/Portugues/2/descobrindoaspalavras.zip	recursos/recurso/Portugues/2/descobrindoaspalavras.swf	Escrita de palavras. Alfabeto. Imagens.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
19	Brincando e associando	recursos/img/Desktop/Portugues/2/brincandoeassociando.png	Exercício e prática.	O recurso "Brincando e associando" trabalha com a associação de palavras às suas imagens correspondentes, de acordo com a relação correta entre esses elementos.	Portugues	2	DPI3; DPI4; DPI5; DPII19	windows; linux		flash	recursos/recurso/Portugues/2/brincandoeassociando.zip	recursos/recurso/Portugues/2/brincandoeassociando.swf	Identificação de palavras. Correlação entre imagens e palavras.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
20	Chico na Ilha dos Jurubebas - Como um quebra-cabeça	recursos/img/Desktop/Portugues/2/chiconailhadosjurubebascomoumquebracabeca.png	Vídeo.	O recurso "Chico na Ilha dos Jurubebas - Como um quebra-cabeça” é um vídeo interativo que trata o gênero textual cartão-postal, bem como alguns encontros consonantais existentes na Língua Portuguesa.	Portugues	2	DPI1; DPI4; DPI5; DPI9	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/2/chiconailhadosjurubebascomoumquebracabeca.zip	recursos/recurso/Portugues/2/chiconailhadosjurubebascomoumquebracabeca.mp4	Leitura. Cartão-postal. Encontros consonantais.	TV Escola /  Ministério da Educação (MEC).	TV Escola, Cara de Cão Filmes.	Português.	2014.
21	Uma arara e sete papagaios	recursos/img/Desktop/Portugues/2/umaararaesetepapagaios.png	Áudio.	O recurso “Uma arara e sete papagaios” é um conto infantil narrado, da "Coleção Mico Maneco", que conta a história de uma arara que foi encontrada na mata por um menino chamado Poti. O menino a levou para a sua tribo, mas após algum tempo, ela foi devolvida para a mata, onde era o seu lar.	Portugues	2	DPI1; DPI6; DPI7	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/2/umaararaesetepapagaios.zip	recursos/recurso/Portugues/2/umaararaesetepapagaios.wma	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Ana Maria Machado, Claudius.	Português.	2009.
22	A festa encrencada	recursos/img/Desktop/Portugues/2/afestaencrencada.png	Áudio.	O recurso “A festa encrencada” é um conto infantil narrado, da "Coleção Estrelinha", que conta a história de uma floresta que estava muito triste. Então, os animais decidiram fazer uma festa bem animada, na qual todos foram convidados. Entretanto, o dragão não foi e, com raiva, estragou tudo.	Portugues	2	DPI1; DPI6; DPI7; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/2/afestaencrencada.zip	recursos/recurso/Portugues/2/afestaencrencada.wma	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Sônia Junqueira.	Português.	2009.
23	A bota do bode	recursos/img/Desktop/Portugues/2/abotadobode.png	Áudio.	O recurso “A bota do bode” é um conto infantil narrado, da "Coleção Gato e Rato", que conta a história de um bode que encontrou uma bota, colocou-a em uma de suas patas e, assim, ficou muito engraçado. Depois disso, a bota foi passando de animal para animal até servir como casa para os gatos.	Portugues	2	DPI1; DPI6; DPI7	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/2/abotadobode.zip	recursos/recurso/Portugues/2/abotadobode.wma	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Mary França, Eliardo França.	Português.	2009.
24	Uma gota de mágica	recursos/img/Desktop/Portugues/2/umagotademagica.png	Áudio.	O recurso “Uma gota de mágica” é um conto infantil narrado, da "Coleção Mico Maneco", que conta a história de Joana, uma menina que ia, todos os dias, buscar água na bica. Um dia, ela encontrou uma bola que parecia mágica, mas, na verdade, era iluminada por vagalumes.	Portugues	2	DPI1; DPI6; DPI7	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/2/umagotademagica.zip	recursos/recurso/Portugues/2/umagotademagica.wma	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Claudius, Ana Maria Machado.	Português.	2009.
25	Qual é o seu pedido?	recursos/img/Desktop/Portugues/2/qualeoseupedido.png	Jogo.	O recurso “Qual é o seu pedido?” trabalha com a leitura e a produção de cardápios, por meio da apresentação de situações de interação com esse gênero, contextualizadas nas funções de cliente, de garçom/garçonete e de chef. Assim, o recurso busca explorar a compreensão acerca do gênero, a partir de sua funcionalidade e organização composicional.	Portugues	2	DPI1; DPI9	windows; linux	chrome; firefox; edge		recursos/recurso/Portugues/2/qualeoseupedido.zip	recursos/recurso/Portugues/2/qualeoseupedido/red/index.html	Leitura. Produção escrita. Cardápio. Regionalismos.	Plataforma MEC de Recursos Educacionais Digitais (RED) /  Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Raquel Santiago Freire, Mércia Valéria Campos Figueiredo, Rayssa Araújo Hitzschky, Danilo Coêlho Sousa, José Aires de Castro Filho, Gilson Júnior, Antônio Melo Júnior, Henrique Pequeno, Márcio Moreira, Eduardo Ferreira, Yohanna Almeida, Deleon Hippolyto, Nádia Lopes, Natália Prata, Iuri Garcia, Mario Silva, Nathan Serra, Pedro Osawa, Schaffer Torres, Diego Linhares.	Português.	2019.
26	Sinônimo e antônimo	recursos/img/Desktop/Portugues/3/sinonimoeantonimo.png	Vídeo.	O recurso "Sinônimo e antônimo" é um vídeo do "Programete Mais Educação", que apresenta as regras para a utilização de sinônimos e antônimos em frases diversas.	Portugues	3	DPI3; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/sinonimoeantonimo.zip	recursos/recurso/Portugues/3/sinonimoeantonimo.avi	Análise linguística. Sinônimos. Antônimos.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
27	Briga em sala	recursos/img/Desktop/Portugues/3/brigaemsala.png	Ferramenta.	O recurso "Briga em sala" aborda o desenvolvimento de uma narrativa, na qual dois adolescentes discutem em sala de aula pela liderança da turma e pela amizade de um colega. Dessa maneira, o recurso propicia o trabalho com a produção textual, fazendo com que os alunos pensem em alternativas para evitar a briga.	Portugues	3	DPI1; DPI2; DPI5; DPI6; DPI7; DPI8; DPII17; DPII18; DPII19	windows; linux		flash	recursos/recurso/Portugues/3/brigaemsala.zip	recursos/recurso/Portugues/3/brigaemsala.swf	Linguagem escrita. Produção textual. Autoria.	Instituto Anísio Teixeira (IAT).	Maria Auxiliadora de Souza.	Português.	2010.
29	Sílabas	recursos/img/Desktop/Portugues/3/silaba.png	Vídeo.	O recurso "Sílabas" apresenta as sílabas e a sua classificação, por meio de exemplos que mostram a sua forma de organização em diferentes palavras.	Portugues	3	DPI1; DPI3; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/silaba.zip	recursos/recurso/Portugues/3/silaba.avi	Sílabas. Formação de palavras.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
30	Adjetivo e substantivo	recursos/img/Desktop/Portugues/3/adjetivoesubstantivo.png	Vídeo.	O recurso "Adjetivo e substantivo" apresenta as regras de uso dos substantivos e dos adjetivos, por meio de exemplificações em frases.	Portugues	3	DPI3; DPI4; DPII18; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/adjetivoesubstantivo.zip	recursos/recurso/Portugues/3/adjetivoesubstantivo.avi	Adjetivos. Substantivos. Regras de uso.	Portal do Professor.	Leandro Ferreira.	Português.	2008.
32	Três - vez [Orto e grafia]	recursos/img/Desktop/Portugues/3/tresvezortoegrafia.png	Vídeo.	O recurso "Três - vez [Orto e grafia]” apresenta a pronúncia e a grafia correta de algumas palavras grafadas com '-ez' e '-es', por meio de exemplos trazidos em meio à uma narrativa.	Portugues	3	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/tresvezortoegrafia.zip	recursos/recurso/Portugues/3/tresvezortoegrafia.avi	Pronúncia. Grafia. Palavras com ‘-ez’ e ‘-es’.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2008.
33	Cabra da Peste - Patativa do Assaré	recursos/img/Desktop/Portugues/3/cabradapestepatativadoassare.png	Vídeo.	O recurso "Cabra da Peste - Patativa do Assaré" traz Antônio Gonçalves da Silva, também conhecido como Patativa do Assaré, narrando um de seus poemas. O recurso apresenta a literatura de cordel e a poesia popular de Patativa do Assaré, um conhecido compositor e improvisador brasileiro.	Portugues	3	DPI1; DPI6; DPI7; DPI9	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/cabradapestepatativadoassare.zip	recursos/recurso/Portugues/3/cabradapestepatativadoassare.swf	Literatura de cordel. Patativa do Assaré.	Governo do Paraná (PR).	Arte no Mouse.	Português.	2001.
34	Xi - Chuva	recursos/img/Desktop/Portugues/3/xichuva.png	Vídeo.	O recurso "Xi - Chuva” é um vídeo do "Programa Orto e Grafia", apresentado pela TV Escola. O vídeo apresenta a grafia de palavras compostas pelas letras ‘-x’ e ‘-ch’, a partir de exemplos práticos.	Portugues	3	DPI1; DPII19	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/xichuva.zip	recursos/recurso/Portugues/3/xichuva.avi	Grafia. Oralidade. Palavras com ‘-x’ e ‘-ch’.	Portal do Professor.	Ministério da Educação (MEC).	Português.	2008.
35	O caracol viajante	recursos/img/Desktop/Portugues/3/ocaracolviajante.png	Áudio.	O recurso “O caracol viajante” é um conto infantil narrado, da "Coleção Estrelinha", que conta a história de Rodolfo, um caracol viajante que, ao longo de suas viagens, conquista vários amigos.	Portugues	3	DPI1; DPI6; DPI7; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/ocaracolviajante.zip	recursos/recurso/Portugues/3/ocaracolviajante.mp3	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Sônia Junqueira.	Português.	2009.
36	Jeca, o Tatu	recursos/img/Desktop/Portugues/3/jecaotatu.png	Áudio.	O recurso “Jeca, o Tatu” é um conto infantil narrado, da "Coleção Batutinha", que conta a história de Jeca, o Tatu. O recurso apresenta uma grande aventura vivida por Jeca, quando ele conheceu a "cidade grande".	Portugues	3	DPI1; DPI6; DPI7	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/jecaotatu.zip	recursos/recurso/Portugues/3/jecaotatu.mp3	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Ana Maria Machado.	Português.	2009.
37	Troca-troca	recursos/img/Desktop/Portugues/3/trocatroca.png	Áudio.	O recurso “Troca-troca” é um conto infantil narrado, da "Coleção Mico Maneco", que conta a história sobre um troca-troca de brinquedos feita por três amigos. Após a brincadeira, o troca-troca virou uma mania entre as crianças.	Portugues	3	DPI1; DPI6; DPI7; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/trocatroca.zip	recursos/recurso/Portugues/3/trocatroca.mp3	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Ana Maria Machado, Claudius.	Português.	2009.
38	Remar-rimar	recursos/img/Desktop/Portugues/3/remarrimar.png	Áudio.	O recurso “Remar-rimar” apresenta poesias narradas, da "Coleção Dó-ré-mi-fá". A partir delas, o recurso busca estimular a criatividade e a imaginação para a construção de poesias autorais.	Portugues	3	DPI1; DPI6; DPI7; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/remarrimar.zip	recursos/recurso/Portugues/3/remarrimar.mp3	Poesia. Gênero lírico. Oralidade.	Portal do Professor.	Teresa Noronha.	Português.	2009.
39	Chapéu de palha	recursos/img/Desktop/Portugues/3/chapeudepalha.png	Áudio.	O recurso “Chapéu de palha” é um conto infantil narrado, da "Coleção Gato e Rato", que conta a história do chapéu de Marina, que sempre voava. Com a narração, busca-se despertar a valorização e a construção de contos, por meio da ênfase à imaginação.	Portugues	3	DPI1; DPI6; DPI7; DPII18	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/chapeudepalha.zip	recursos/recurso/Portugues/3/chapeudepalha.mp3	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Mary França, Eliardo França.	Português.	2009.
40	No imenso mar azul	recursos/img/Desktop/Portugues/3/noimensomarazul.png	Áudio.	O recurso “No imenso mar azul” é um conto infantil narrado, da "Coleção Mico Maneco", que conta a história de um menino que mergulhou no imenso mar azul. Durante o mergulho, o garotinho encantou-se com as cores, a vida e a beleza de um peixe palhaço. A partir desse encontro, menino e peixe aprenderam a respeitar e admirar mundos tão diferentes.	Portugues	3	DPI1; DPI3; DPI6; DPI7	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/noimensomarazul.zip	recursos/recurso/Portugues/3/noimensomarazul.mp3	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Ana Maria Machado, Claudius.	Português.	2011.
41	O rato roeu a roupa	recursos/img/Desktop/Portugues/3/oratoroeuaroupa.png	Áudio.	O recurso “O rato roeu a roupa” é um conto infantil narrado, da "Coleção Mico Maneco". A narração conta a história de um rato faminto que começou a roer tudo o que viu pela frente, inclusive, a roupa nova do rei de Roma, causando, assim, uma grande confusão.	Portugues	3	DPI1; DPI6; DPI7	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/oratoroeuaroupa.zip	recursos/recurso/Portugues/3/oratoroeuaroupa.mp3	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Claudius, Ana Maria Machado.	Português.	2010.
42	A loja da dona raposa	recursos/img/Desktop/Portugues/3/alojadadonaraposa.png	Áudio.	O recurso “A loja da dona raposa” é um conto infantil narrado, da Coleção Dó-ré-mi-fá, que apresenta o diálogo entre Dona Raposa e Dona Onça Pintada. A primeira é dona de uma loja na floresta que está prestes a fechar, pois já não aguenta mais as encomendas confusas da bicharada. A outra usa de diversos argumentos para convencê-la a continuar com a loja.	Portugues	3	DPI1; DPI6; DPI7	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/3/alojadadonaraposa.zip	recursos/recurso/Portugues/3/alojadadonaraposa.mp3	Conto infantil. Gênero narrativo. Linguagem oral.	Portal do Professor.	Hardy Guedes.	Português.	2010.
43	Escrevendo Histórias	recursos/img/Desktop/Portugues/3/escrevendohistorias.png	Ferramenta.	O recurso "Escrevendo Histórias" objetiva trabalhar com a produção escrita, por meio da relação entre imagem e texto. Desse modo, ele possibilita a construção de histórias, de maneira autoral e criativa.	Portugues	3	DPI5; DPI7; DPI14; DPII18; DPII19	windows; linux		flash	recursos/recurso/Portugues/3/escrevendohistorias.zip	recursos/recurso/Portugues/3/escrevendohistorias.swf	Produção textual. Leitura. Autoria.	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Português.	Desconhecida.
44	Fábulas animadas	recursos/img/Desktop/Portugues/3/fabulasanimadas.png	Jogo.	O recurso “Fábulas animadas” trabalha com o gênero fábula, a partir de duas histórias desse campo literário: "O Galo e a Raposa" e "O Ratinho, o Gato e o Galo". Durante as fábulas, são abordadas atividades específicas, em uma sequência didática linear.	Portugues	3	DPI1; DPI4; DPI7; DPI9	windows; linux	chrome; firefox; edge		recursos/recurso/Portugues/3/fabulasanimadas.zip	recursos/recurso/Portugues/3/fabulasanimadas/red/index.html	Fábulas. Gênero textual. Leitura. Ortografia.	Plataforma MEC de Recursos Educacionais Digitais (RED) /  Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Raquel Santiago Freire, Mércia Valéria Campos Figueiredo, Rayssa Araújo Hitzschky, Danilo Coêlho Sousa, José Aires de Castro Filho, Gilson Júnior, Antônio Melo Júnior, Henrique Pequeno, Márcio Moreira, Julianne Holanda, Douglas Silva, Deleon Hippolyto, Natália Prata, Iuri Garcia, Nathan Serra, Diego Linhares.	Português.	2019.
